,Exercice,Numéro EJ,Libellé EJ,Réf. / Code service,Date validation,Fournisseur,Montant HT EJ,Montant TVA EJ,Montant TTC EJ,Montant budgétaire EJ,Nb factures,TTC factures,TTC reste à payer EJ,Code achat,Libellé article,Prix HT unitaire,Quantité,Montant HT article,Montant TVA article,Montant TTC article,EB,UB,CR,Numéro opération,Libellé opération,Code destination,Libellé destination,Montant HT répartition,Montant TTC répartition,Prorata TVA %,Montant budgétaire répartition,FP,APC ou BPC,FP hors OA,FP hors OA - précisions,DOI,Labo payeur,Paiement partagé,commentaire,Titre,Auteur de correspondance,Revue,ISSN_L,Editeur,Année de publication,Licence,Statut_OA
0,2024,CDE-2024-003234,Publication Article A: A bi-objective home health care routing and scheduling problem under uncertainty,Disp ,2024-04-02,MDP00002 - MDPI AG ,2604.2,54.69,2658.89,2604.2,1,2658.89,0,XC.14,"Publication article A bi-objective home health care routing and scheduling problem under uncertainty
Auteurs : Jiao ZHAO, Tao WANG, Thibaud MONTEIRO ",2604.2,1.0,2604.2,54.69,2658.8882,INSA/RECHERCHE/DISP,RECHERCHE,DISP,OPE-2023-0126,COCARE4H,D108,"Recherche universitaire en physique, chimie et sciences pour l'ingénieur",2604.2,2658.8882,100,2604.2,oui,oui,non,,10.3390/ijerph21030377,DISP,non,,A Bi-Objective Home Health Care Routing and Scheduling Problem under Uncertainty,Jiao Zhao,International Journal of Environmental Research and Public Health,1660-4601,Multidisciplinary Digital Publishing Institute,2024,cc-by,gold
1,2024,CDE-2024-003320,FRAIS PUBLCIATION K.ALHADA LAHBABI+D.DELERUYELLE/ANR ECHOES,INL/ECHOES,2024-07-22,ROY00028 - ROYAL SOCIETY OF CHEMISTRY ,2113.55,44.17,2157.72,2113.55,2,2157.72,0,XC.14,FRAIS ,10.0,1.0,10.0,0.0,10.0,INSA/RECHERCHE/INL,RECHERCHE,INL,OPE-2023-0103,ECHOES,D107,"Recherche universitaire en mathématiques, sciences et techniques de l'information et de la communication, micro et nanotechnologies",10.0,10.0,100,10.0,oui,non,oui,frais bancaires,10.1039/d3na01115a,INL,non,,Ultrafast and accurate prediction of polycrystalline hafnium oxide phase-field ferroelectric hysteresis using graph neural networks,Kévin Alhada–Lahbabi,Nanoscale Advances,2516-0230,Royal Society of Chemistry,2024,cc-by,gold
2,2024,CDE-2024-003320,FRAIS PUBLCIATION K.ALHADA LAHBABI+D.DELERUYELLE/ANR ECHOES,INL/ECHOES,2024-07-22,ROY00028 - ROYAL SOCIETY OF CHEMISTRY ,2113.55,44.17,2157.72,2113.55,2,2157.72,0,XC.14,AJUSTEMENT RELEVE TG,20.0,0.93,18.55,0.39,18.93955,INSA/RECHERCHE/INL,RECHERCHE,INL,OPE-2023-0103,ECHOES,D107,"Recherche universitaire en mathématiques, sciences et techniques de l'information et de la communication, micro et nanotechnologies",18.55,18.93955,100,18.55,oui,non,oui,ajustement de devises,10.1039/d3na01115a,INL,non,,Ultrafast and accurate prediction of polycrystalline hafnium oxide phase-field ferroelectric hysteresis using graph neural networks,Kévin Alhada–Lahbabi,Nanoscale Advances,2516-0230,Royal Society of Chemistry,2024,cc-by,gold
3,2024,CDE-2024-003320,FRAIS PUBLCIATION K.ALHADA LAHBABI+D.DELERUYELLE/ANR ECHOES,INL/ECHOES,2024-07-22,ROY00028 - ROYAL SOCIETY OF CHEMISTRY ,2113.55,44.17,2157.72,2113.55,2,2157.72,0,XC.14,"TITLE: Ultrafast and accurate prediction of polycrystalline hafnium oxide phase-field ferroelectric hysteresis using graph neural networks
JOURNAL: Nanoscale Advances
MANUSCRIPT ID: D3NA01115A
taux de change : 1.158*1800GPB",2085.0,1.0,2085.0,43.79,2128.785,INSA/RECHERCHE/INL,RECHERCHE,INL,OPE-2023-0103,ECHOES,D107,"Recherche universitaire en mathématiques, sciences et techniques de l'information et de la communication, micro et nanotechnologies",2085.0,2128.785,100,2085.0,oui,oui,non,,10.1039/d3na01115a,INL,non,,Ultrafast and accurate prediction of polycrystalline hafnium oxide phase-field ferroelectric hysteresis using graph neural networks,Kévin Alhada–Lahbabi,Nanoscale Advances,2516-0230,Royal Society of Chemistry,2024,cc-by,gold
4,2024,CDE-2024-007701,FRAIS PUBLICATION ARTICLE OPEN ACCESS/K.ALHADA LAHBABI/ANR ECHOES D.DELERUYELLE,INL,2024-09-25,ABC00004 - SPRINGER CUSTOMER SERVICE CENTER GMBH ,2845.0,284.5,3129.5,2845.0,2,5974.5,0,XC.14,"ARTICLE : Machine learning surrogate for 3D phase-field modeling of ferroelectric tip-induced electrical switching
D.DELERUYELLE / K.ALHADA LAHBABI",2790.0,1.0,2790.0,279.0,3069.0,INSA/RECHERCHE/INL,RECHERCHE,INL,OPE-2023-0103,ECHOES,D107,"Recherche universitaire en mathématiques, sciences et techniques de l'information et de la communication, micro et nanotechnologies",2790.0,3069.0,100,2790.0,oui,oui,non,,10.1038/s41524-024-01375-7,INL,non,,Machine learning surrogate for 3D phase-field modeling of ferroelectric tip-induced electrical switching,Kévin Alhada–Lahbabi,npj Computational Materials,2057-3960,Nature Portfolio,2024,cc-by-nc-nd,gold
5,2024,CDE-2024-007701,FRAIS PUBLICATION ARTICLE OPEN ACCESS/K.ALHADA LAHBABI/ANR ECHOES D.DELERUYELLE,INL,2024-09-25,ABC00004 - SPRINGER CUSTOMER SERVICE CENTER GMBH ,2845.0,284.5,3129.5,2845.0,2,5974.5,0,XC.14,Single APC Admin Fee,55.0,1.0,55.0,5.5,60.5,INSA/RECHERCHE/INL,RECHERCHE,INL,OPE-2023-0103,ECHOES,D107,"Recherche universitaire en mathématiques, sciences et techniques de l'information et de la communication, micro et nanotechnologies",55.0,60.5,100,55.0,oui,non,oui,admin fee,10.1038/s41524-024-01375-7,INL,non,,Machine learning surrogate for 3D phase-field modeling of ferroelectric tip-induced electrical switching,Kévin Alhada–Lahbabi,npj Computational Materials,2057-3960,Nature Portfolio,2024,cc-by-nc-nd,gold
6,2024,CDE-2024-008651,Publication article scientifique - Pages supplémentaires - Jessica FLORENCIA - ANR JUNEAU OPE 2023-0001,Disp ,2024-10-24,COP00004 - COPYRIGHT CLEARANCE CENTER INC ,171.7,3.4,175.1,171.7,2,175.1,0,XC.17,Frais bancaires,10.0,1.0,10.0,0.0,10.0,INSA/RECHERCHE/DISP,RECHERCHE,DISP,OPE-2023-0001,JUNEAU ,D108,"Recherche universitaire en physique, chimie et sciences pour l'ingénieur",10.0,10.0,100,10.0,oui,non,oui,frais bancaire, 10.1109/TASE.2024.3463489,DISP,non,,Toward Improving Dynamic Resource Scheduling in the Context of Digital Twin of Emergency Department,Jessica Florencia,IEEE Transactions on Automation Science and Engineering,1545-5955,Institute of Electrical and Electronics Engineers,2024,,green
7,2024,CDE-2024-008651,Publication article scientifique - Pages supplémentaires - Jessica FLORENCIA - ANR JUNEAU OPE 2023-0001,Disp ,2024-10-24,COP00004 - COPYRIGHT CLEARANCE CENTER INC ,171.7,3.4,175.1,171.7,2,175.1,0,XC.17,Publication article scientifique - Pages supplémentaires - Jessica FLORENCIA - ANR JUNEAU OPE 2023-0001,161.7,1.0,161.7,3.4,165.0957,INSA/RECHERCHE/DISP,RECHERCHE,DISP,OPE-2023-0001,JUNEAU ,D108,"Recherche universitaire en physique, chimie et sciences pour l'ingénieur",161.7,165.0957,100,161.7,oui,non,oui,pages supplémentaires, 10.1109/TASE.2024.3463489,DISP,non,,Toward Improving Dynamic Resource Scheduling in the Context of Digital Twin of Emergency Department,Jessica Florencia,IEEE Transactions on Automation Science and Engineering,1545-5955,Institute of Electrical and Electronics Engineers,2024,,green
